year,province,technology,generation
2018,Manitoba,Combustible fuels,90972.0
2018,Manitoba,Hydro,30732183.0
2018,Manitoba,Non-renewable combustibles,
2018,Manitoba,Solar,0.0
2018,Manitoba,Wind,832778.0
2018,New Brunswick,Biomass,
2018,New Brunswick,Combustible fuels,5404420.0
2018,New Brunswick,Hydro,2529550.0
2018,New Brunswick,Non-renewable combustibles,
2018,New Brunswick,Nuclear,4881975.0
2018,New Brunswick,Solar,0.0
2018,New Brunswick,Wind,824354.0
2018,Newfoundland and Labrador,Biomass,
2018,Newfoundland and Labrador,Combustible fuels,1771895.0
2018,Newfoundland and Labrador,Hydro,42105104.0
2018,Newfoundland and Labrador,Non-renewable combustibles,
2018,Newfoundland and Labrador,Solar,0.0
2018,Newfoundland and Labrador,Wind,209178.0
2018,Nova Scotia,Biomass,
2018,Nova Scotia,Combustible fuels,8075626.0
2018,Nova Scotia,Hydro,921865.0
2018,Nova Scotia,Non-renewable combustibles,
2018,Nova Scotia,Solar,0.0
2018,Nova Scotia,Wind,1192079.0
2018,Ontario,Biomass,
2018,Ontario,Combustible fuels,13353087.0
2018,Ontario,Hydro,37687913.0
2018,Ontario,Non-renewable combustibles,
2018,Ontario,Nuclear,90155270.0
2018,Ontario,Solar,2176592.0
2018,Ontario,Wind,11253753.0
2018,Prince Edward Island,Biomass,
2018,Prince Edward Island,Combustible fuels,20473.0
2018,Prince Edward Island,Hydro,0.0
2018,Prince Edward Island,Non-renewable combustibles,
2018,Prince Edward Island,Solar,262.0
2018,Prince Edward Island,Wind,640820.0
2018,Quebec,Biomass,
2018,Quebec,Combustible fuels,2212202.0
2018,Quebec,Hydro,201007493.0
2018,Quebec,Non-renewable combustibles,
2018,Quebec,Nuclear,
2018,Quebec,Solar,1513.0
2018,Quebec,Wind,10641247.0
2018,Saskatchewan,Biomass,
2018,Saskatchewan,Combustible fuels,20292346.0
2018,Saskatchewan,Hydro,3546900.0
2018,Saskatchewan,Non-renewable combustibles,
2018,Saskatchewan,Solar,0.0
2018,Saskatchewan,Wind,694544.0
2019,Alberta,Biomass,
2019,Alberta,Combustible fuels,74921439.0
2019,Alberta,Hydro,2543055.0
2019,Alberta,Non-renewable combustibles,
2019,Alberta,Solar,23249.0
2019,Alberta,Wind,4036700.0
2019,British Columbia,Biomass,
2019,British Columbia,Combustible fuels,6512614.0
2019,British Columbia,Hydro,55936053.0
2019,British Columbia,Non-renewable combustibles,
2019,British Columbia,Solar,1504.0
2019,British Columbia,Wind,1503098.0
2019,Manitoba,Biomass,
2019,Manitoba,Combustible fuels,106176.0
2019,Manitoba,Hydro,32934890.0
2019,Manitoba,Non-renewable combustibles,
2019,Manitoba,Solar,4.0
2019,Manitoba,Wind,886798.0
2019,New Brunswick,Biomass,
2019,New Brunswick,Combustible fuels,4640719.0
2019,New Brunswick,Hydro,3002774.0
