ref_date,province,Biomass,Combustible fuels,Hydro,Non-renewable combustibles,Nuclear,Solar,Wind
2016-07-01,Manitoba,0.0,14253.0,3089358.0,0.0,,0.0,54665.0
2016-07-01,New Brunswick,0.0,503636.0,225252.0,0.0,485950.0,0.0,44361.0
2016-07-01,Newfoundland and Labrador,0.0,76740.0,2222679.0,0.0,,0.0,13005.0
2016-07-01,Nova Scotia,0.0,614351.0,34819.0,0.0,,0.0,56251.0
2016-07-01,Ontario,0.0,1842623.0,2819312.0,0.0,8209799.0,224614.0,596773.0
2016-07-01,Prince Edward Island,0.0,273.0,0.0,0.0,,0.0,36606.0
2016-07-01,Quebec,0.0,174734.0,15468640.0,0.0,0.0,183.0,668840.0
2016-07-01,Saskatchewan,0.0,1686241.0,214650.0,0.0,,0.0,33586.0
2016-08-01,Alberta,0.0,6329337.0,212118.0,0.0,,210.0,246629.0
2016-08-01,British Columbia,0.0,552803.0,4741565.0,0.0,,0.0,76504.0
2016-08-01,Manitoba,0.0,15607.0,2922015.0,0.0,,0.0,56963.0
2016-08-01,New Brunswick,0.0,515840.0,178585.0,0.0,491403.0,0.0,49881.0
2016-08-01,Newfoundland and Labrador,0.0,88973.0,2796808.0,0.0,,0.0,11101.0
2016-08-01,Nova Scotia,0.0,647547.0,28467.0,0.0,,0.0,54786.0
2016-08-01,Ontario,0.0,2345568.0,2754729.0,0.0,8043289.0,222262.0,607051.0
2016-08-01,Prince Edward Island,0.0,235.0,0.0,0.0,,0.0,34836.0
2016-08-01,Quebec,0.0,193139.0,15522378.0,0.0,0.0,167.0,497054.0
2016-08-01,Saskatchewan,0.0,1688290.0,262814.0,0.0,,0.0,49447.0
2016-09-01,Alberta,0.0,5817633.0,158254.0,0.0,,177.0,373073.0
2016-09-01,British Columbia,0.0,545805.0,4357296.0,0.0,,0.0,89102.0
2016-09-01,Manitoba,0.0,7677.0,2787972.0,0.0,,0.0,65527.0
2016-09-01,New Brunswick,0.0,494996.0,112596.0,0.0,474069.0,0.0,55751.0
2016-09-01,Newfoundland and Labrador,0.0,96629.0,2688444.0,0.0,,0.0,13623.0
2016-09-01,Nova Scotia,0.0,584591.0,20608.0,0.0,,0.0,76387.0
2016-09-01,Ontario,0.0,1418123.0,2608392.0,0.0,7658879.0,186954.0,666117.0
2016-09-01,Prince Edward Island,0.0,330.0,0.0,0.0,,0.0,45530.0
2016-09-01,Quebec,0.0,172887.0,14020445.0,0.0,0.0,151.0,642611.0
2016-09-01,Saskatchewan,0.0,1530156.0,281573.0,0.0,,0.0,48344.0
2016-10-01,Alberta,0.0,6062428.0,141251.0,0.0,,144.0,313897.0
2016-10-01,British Columbia,0.0,597557.0,4666684.0,0.0,,0.0,82855.0
2016-10-01,Manitoba,0.0,18221.0,2948087.0,0.0,,0.0,86675.0
2016-10-01,New Brunswick,0.0,449370.0,137699.0,0.0,423733.0,0.0,68964.0
2016-10-01,Newfoundland and Labrador,0.0,130012.0,3106086.0,0.0,,0.0,16055.0
