ref_date,province,generation_type,technology,value,vector_id,coordinate,scalar_factor_code,decimals,symbol_code,status_code,security_level_code,release_time,frequency_code,series_title,member_uom_code
2018-05-01,Alberta,Total electricity production from biomass,Biomass,,1146006399,10.1.13.0.0.0.0.0.0.0,0,0,0,1,0,,6,Alberta;Total all classes of electricity producer;Total electricity production from biomass,210
2018-06-01,Alberta,Total electricity production from biomass,Biomass,,1146006399,10.1.13.0.0.0.0.0.0.0,0,0,0,1,0,,6,Alberta;Total all classes of electricity producer;Total electricity production from biomass,210
2018-07-01,Alberta,Total electricity production from biomass,Biomass,,1146006399,10.1.13.0.0.0.0.0.0.0,0,0,0,1,0,,6,Alberta;Total all classes of electricity producer;Total electricity production from biomass,210
2018-08-01,Alberta,Total electricity production from biomass,Biomass,,1146006399,10.1.13.0.0.0.0.0.0.0,0,0,0,1,0,,6,Alberta;Total all classes of electricity producer;Total electricity production from biomass,210
2018-09-01,Alberta,Total electricity production from biomass,Biomass,,1146006399,10.1.13.0.0.0.0.0.0.0,0,0,0,1,0,,6,Alberta;Total all classes of electricity producer;Total electricity production from biomass,210
2018-10-01,Alberta,Total electricity production from biomass,Biomass,,1146006399,10.1.13.0.0.0.0.0.0.0,0,0,0,1,0,,6,Alberta;Total all classes of electricity producer;Total electricity production from biomass,210
2018-11-01,Alberta,Total electricity production from biomass,Biomass,,1146006399,10.1.13.0.0.0.0.0.0.0,0,0,0,1,0,,6,Alberta;Total all classes of electricity producer;Total electricity production from biomass,210
2018-12-01,Alberta,Total electricity production from biomass,Biomass,,1146006399,10.1.13.0.0.0.0.0.0.0,0,0,0,1,0,,6,Alberta;Total all classes of electricity producer;Total electricity production from biomass,210
2019-01-01,Alberta,Total electricity production from biomass,Biomass,,1146006399,10.1.13.0.0.0.0.0.0.0,0,0,0,1,0,,6,Alberta;Total all classes of electricity producer;Total electricity production from biomass,210
2019-02-01,Alberta,Total electricity production from biomass,Biomass,,1146006399,10.1.13.0.0.0.0.0.0.0,0,0,0,1,0,,6,Alberta;Total all classes of electricity producer;Total electricity production from biomass,210
2019-03-01,Alberta,Total electricity production from biomass,Biomass,,1146006399,10.1.13.0.0.0.0.0.0.0,0,0,0,1,0,,6,Alberta;Total all classes of electricity producer;Total electricity production from biomass,210
2019-04-01,Alberta,Total electricity production from biomass,Biomass,,1146006399,10.1.13.0.0.0.0.0.0.0,0,0,0,1,0,,6,Alberta;Total all classes of electricity producer;Total electricity production from biomass,210
2019-05-01,Alberta,Total electricity production from biomass,Biomass,,1146006399,10.1.13.0.0.0.0.0.0.0,0,0,0,1,0,,6,Alberta;Total all classes of electricity producer;Total electricity production from biomass,210
2019-06-01,Alberta,Total electricity production from biomass,Biomass,,1146006399,10.1.13.0.0.0.0.0.0.0,0,0,0,1,0,,6,Alberta;Total all classes of electricity producer;Total electricity production from biomass,210
2019-07-01,Alberta,Total electricity production from biomass,Biomass,,1146006399,10.1.13.0.0.0.0.0.0.0,0,0,0,1,0,,6,Alberta;Total all classes of electricity producer;Total electricity production from biomass,210
2019-08-01,Alberta,Total electricity production from biomass,Biomass,,1146006399,10.1.13.0.0.0.0.0.0.0,0,0,0,1,0,,6,Alberta;Total all classes of electricity producer;Total electricity production from biomass,210
2019-09-01,Alberta,Total electricity production from biomass,Biomass,,1146006399,10.1.13.0.0.0.0.0.0.0,0,0,0,1,0,,6,Alberta;Total all classes of electricity producer;Total electricity production from biomass,210
2019-10-01,Alberta,Total electricity production from biomass,Biomass,,1146006399,10.1.13.0.0.0.0.0.0.0,0,0,0,1,0,,6,Alberta;Total all classes of electricity producer;Total electricity production from biomass,210
2019-11-01,Alberta,Total electricity production from biomass,Biomass,,1146006399,10.1.13.0.0.0.0.0.0.0,0,0,0,1,0,,6,Alberta;Total all classes of electricity producer;Total electricity production from biomass,210
2019-12-01,Alberta,Total electricity production from biomass,Biomass,,1146006399,10.1.13.0.0.0.0.0.0.0,0,0,0,1,0,,6,Alberta;Total all classes of electricity producer;Total electricity production from biomass,210
2020-01-01,Alberta,Total electricity production from biomass,Biomass,164699.0,1146006399,10.1.13.0.0.0.0.0.0.0,0,0,0,0,0,2020-05-04T08:30,6,Alberta;Total all classes of electricity producer;Total electricity production from biomass,210
2020-02-01,Alberta,Total electricity production from biomass,Biomass,148639.0,1146006399,10.1.13.0.0.0.0.0.0.0,0,0,0,0,0,2020-06-03T08:30,6,Alberta;Total all classes of electricity producer;Total electricity production from biomass,210
2020-03-01,Alberta,Total electricity production from biomass,Biomass,145582.0,1146006399,10.1.13.0.0.0.0.0.0.0,0,0,0,0,0,2020-07-03T08:35,6,Alberta;Total all classes of electricity producer;Total electricity production from biomass,210
2020-04-01,Alberta,Total electricity production from biomass,Biomass,143444.0,1146006399,10.1.13.0.0.0.0.0.0.0,0,0,0,0,0,2020-08-04T08:30,6,Alberta;Total all classes of electricity producer;Total electricity production from biomass,210
2020-05-01,Alberta,Total electricity production from biomass,Biomass,135423.0,1146006399,10.1.13.0.0.0.0.0.0.0,0,0,0,0,0,2020-09-04T08:30,6,Alberta;Total all classes of electricity producer;Total electricity production from biomass,210
2020-06-01,Alberta,Total electricity production from biomass,Biomass,133665.0,1146006399,10.1.13.0.0.0.0.0.0.0,0,0,0,0,0,2020-10-05T08:30,6,Alberta;Total all classes of electricity producer;Total electricity production from biomass,210
2020-07-01,Alberta,Total electricity production from biomass,Biomass,129537.0,1146006399,10.1.13.0.0.0.0.0.0.0,0,0,0,0,0,2020-11-09T08:30,6,Alberta;Total all classes of electricity producer;Total electricity production from biomass,210
2020-08-01,Alberta,Total electricity production from biomass,Biomass,123542.0,1146006399,10.1.13.0.0.0.0.0.0.0,0,0,0,0,0,2020-12-07T08:30,6,Alberta;Total all classes of electricity producer;Total electricity production from biomass,210
2020-09-01,Alberta,Total electricity production from biomass,Biomass,115560.0,1146006399,10.1.13.0.0.0.0.0.0.0,0,0,0,0,0,2021-01-08T08:30,6,Alberta;Total all classes of electricity producer;Total electricity production from biomass,210
2020-10-01,Alberta,Total electricity production from biomass,Biomass,135374.0,1146006399,10.1.13.0.0.0.0.0.0.0,0,0,0,0,0,2021-03-09T08:30,6,Alberta;Total all classes of electricity producer;Total electricity production from biomass,210
2020-11-01,Alberta,Total electricity production from biomass,Biomass,136718.0,1146006399,10.1.13.0.0.0.0.0.0.0,0,0,0,0,0,2021-03-09T08:30,6,Alberta;Total all classes of electricity producer;Total electricity production from biomass,210
2020-12-01,Alberta,Total electricity production from biomass,Biomass,156042.0,1146006399,10.1.13.0.0.0.0.0.0.0,0,0,0,0,0,2021-04-07T08:30,6,Alberta;Total all classes of electricity producer;Total electricity production from biomass,210
2021-01-01,Alberta,Total electricity production from biomass,Biomass,166933.0,1146006399,10.1.13.0.0.0.0.0.0.0,0,0,0,0,0,2021-05-06T08:30,6,Alberta;Total all classes of electricity producer;Total electricity production from biomass,210
2021-02-01,Alberta,Total electricity production from biomass,Biomass,155475.0,1146006399,10.1.13.0.0.0.0.0.0.0,0,0,0,0,0,2021-06-08T08:30,6,Alberta;Total all classes of electricity producer;Total electricity production from biomass,210
2021-03-01,Alberta,Total electricity production from biomass,Biomass,164091.0,1146006399,10.1.13.0.0.0.0.0.0.0,0,0,0,0,0,2021-07-07T08:30,6,Alberta;Total all classes of electricity producer;Total electricity production from biomass,210
2021-04-01,Alberta,Total electricity production from biomass,Biomass,132504.0,1146006399,10.1.13.0.0.0.0.0.0.0,0,0,0,0,0,2021-08-05T08:30,6,Alberta;Total all classes of electricity producer;Total electricity production from biomass,210
2021-05-01,Alberta,Total electricity production from biomass,Biomass,140303.0,1146006399,10.1.13.0.0.0.0.0.0.0,0,0,0,0,0,2021-09-07T08:30,6,Alberta;Total all classes of electricity producer;Total electricity production from biomass,210
2021-06-01,Alberta,Total electricity production from biomass,Biomass,150689.0,1146006399,10.1.13.0.0.0.0.0.0.0,0,0,0,0,0,2021-10-08T08:30,6,Alberta;Total all classes of electricity producer;Total electricity production from biomass,210
2021-07-01,Alberta,Total electricity production from biomass,Biomass,153875.0,1146006399,10.1.13.0.0.0.0.0.0.0,0,0,0,0,0,2021-11-08T08:30,6,Alberta;Total all classes of electricity producer;Total electricity production from biomass,210
2021-08-01,Alberta,Total electricity production from biomass,Biomass,144748.0,1146006399,10.1.13.0.0.0.0.0.0.0,0,0,0,0,0,2021-12-08T08:30,6,Alberta;Total all classes of electricity producer;Total electricity production from biomass,210
